	 0    1   0    2   0    3   0    4   1    1   1    2   1    3   1    4   2    1   2    2   2    3   2    4  
1 4 0|  0.68   -1000.00   -1000.00   -1000.00   0.46   -0.09   0.39   -0.18   -1000.00   -1000.00   -1000.00   -1000.00   
1 4 1|  0.53   -1000.00   -1000.00   -1000.00   0.58   0.65   -0.67   0.69   0.21   -1000.00   -1000.00   -1000.00   
1 4 2|  0.67   -1000.00   -1000.00   -1000.00   0.56   0.60   0.65   0.11   0.61   0.29   -1000.00   -1000.00   
1 4 3|  0.68   -1000.00   -1000.00   -1000.00   0.45   0.48   0.50   0.37   0.55   0.51   0.30   -1000.00   
1 4 4|  0.68   -1000.00   -1000.00   -1000.00   0.42   0.54   0.51   0.36   0.45   0.52   0.45   0.52   
2 0 0|  -0.51   0.66   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
2 0 1|  0.72   -0.68   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.66   -1000.00   -1000.00   -1000.00   
2 0 2|  0.04   0.68   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -0.00   0.48   -1000.00   -1000.00   
2 0 3|  0.22   0.67   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.46   0.28   0.56   -1000.00   
2 0 4|  0.28   0.23   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.07   0.69   -0.11   0.20   
2 1 0|  0.66   -0.71   -1000.00   -1000.00   0.70   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
2 1 1|  -0.73   0.68   -1000.00   -1000.00   -0.41   -1000.00   -1000.00   -1000.00   -0.20   -1000.00   -1000.00   -1000.00   
2 1 2|  0.68   -0.26   -1000.00   -1000.00   0.66   -1000.00   -1000.00   -1000.00   0.69   -0.05   -1000.00   -1000.00   
2 1 3|  0.69   0.14   -1000.00   -1000.00   0.61   -1000.00   -1000.00   -1000.00   0.64   0.62   -0.22   -1000.00   
2 1 4|  0.69   0.35   -1000.00   -1000.00   0.55   -1000.00   -1000.00   -1000.00   0.57   0.62   0.58   -0.16   
2 2 0|  0.03   0.68   -1000.00   -1000.00   0.15   0.66   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
2 2 1|  0.69   0.03   -1000.00   -1000.00   0.58   0.05   -1000.00   -1000.00   0.61   -1000.00   -1000.00   -1000.00   
